topic_a,topic_b,ctfidf_similarity,merge_candidate,review_status
0,14,0.180775,False,pending_human_review
0,15,0.07922,False,pending_human_review
0,16,0.150247,False,pending_human_review
0,17,0.179174,False,pending_human_review
0,18,0.083659,False,pending_human_review
0,19,0.065743,False,pending_human_review
0,20,0.217578,False,pending_human_review
0,21,0.17991,False,pending_human_review
0,22,0.082277,False,pending_human_review
0,23,0.233985,False,pending_human_review
0,24,0.205393,False,pending_human_review
0,25,0.073416,False,pending_human_review
0,26,0.257363,False,pending_human_review
0,27,0.215983,False,pending_human_review
0,28,0.222167,False,pending_human_review
0,29,0.20036,False,pending_human_review
0,30,0.180659,False,pending_human_review
0,31,0.16586,False,pending_human_review
0,32,0.19444,False,pending_human_review
0,33,0.17827,False,pending_human_review
0,34,0.163455,False,pending_human_review
0,35,0.172839,False,pending_human_review
0,36,0.20362,False,pending_human_review
0,37,0.187215,False,pending_human_review
0,38,0.146018,False,pending_human_review
0,39,0.069121,False,pending_human_review
0,40,0.174504,False,pending_human_review
0,41,0.16292,False,pending_human_review
1,2,0.222935,False,pending_human_review
1,3,0.201974,False,pending_human_review
1,4,0.171402,False,pending_human_review
1,5,0.217751,False,pending_human_review
1,6,0.214666,False,pending_human_review
1,7,0.203363,False,pending_human_review
1,8,0.164672,False,pending_human_review
1,9,0.173402,False,pending_human_review
1,10,0.192643,False,pending_human_review
1,11,0.16566,False,pending_human_review
1,12,0.200233,False,pending_human_review
1,13,0.184545,False,pending_human_review
1,14,0.22853,False,pending_human_review
1,15,0.170566,False,pending_human_review
1,16,0.163903,False,pending_human_review
1,17,0.215309,False,pending_human_review
1,18,0.104088,False,pending_human_review
1,19,0.126597,False,pending_human_review
1,20,0.195366,False,pending_human_review
1,21,0.221409,False,pending_human_review
1,22,0.118372,False,pending_human_review
1,23,0.217436,False,pending_human_review
1,24,0.171621,False,pending_human_review
1,25,0.170416,False,pending_human_review
1,26,0.160736,False,pending_human_review
1,27,0.146087,False,pending_human_review
1,28,0.133217,False,pending_human_review
1,29,0.166299,False,pending_human_review
1,30,0.177647,False,pending_human_review
1,31,0.162243,False,pending_human_review
1,32,0.176816,False,pending_human_review
1,33,0.148604,False,pending_human_review
1,34,0.191216,False,pending_human_review
1,35,0.184003,False,pending_human_review
1,36,0.139654,False,pending_human_review
1,37,0.140316,False,pending_human_review
1,38,0.167186,False,pending_human_review
1,39,0.149242,False,pending_human_review
1,40,0.134423,False,pending_human_review
1,41,0.105084,False,pending_human_review
2,3,0.242144,False,pending_human_review
2,4,0.098217,False,pending_human_review
2,5,0.118554,False,pending_human_review
2,6,0.158247,False,pending_human_review
2,7,0.275622,False,pending_human_review
2,8,0.228998,False,pending_human_review
2,9,0.125503,False,pending_human_review
2,10,0.162898,False,pending_human_review
2,11,0.097839,False,pending_human_review
2,12,0.209008,False,pending_human_review
2,13,0.179262,False,pending_human_review
2,14,0.184444,False,pending_human_review
2,15,0.095199,False,pending_human_review
2,16,0.194632,False,pending_human_review
2,17,0.186418,False,pending_human_review
2,18,0.080205,False,pending_human_review
2,19,0.078133,False,pending_human_review
2,20,0.219813,False,pending_human_review
2,21,0.191019,False,pending_human_review
2,22,0.07984,False,pending_human_review
2,23,0.16532,False,pending_human_review
2,24,0.206517,False,pending_human_review
2,25,0.070762,False,pending_human_review
2,26,0.227797,False,pending_human_review
2,27,0.216127,False,pending_human_review
2,28,0.212384,False,pending_human_review
2,29,0.204039,False,pending_human_review
2,30,0.155659,False,pending_human_review
2,31,0.146373,False,pending_human_review
2,32,0.202391,False,pending_human_review
2,33,0.201161,False,pending_human_review
2,34,0.139667,False,pending_human_review
2,35,0.146218,False,pending_human_review
2,36,0.202122,False,pending_human_review
2,37,0.18917,False,pending_human_review
2,38,0.15791,False,pending_human_review
2,39,0.072018,False,pending_human_review
2,40,0.187794,False,pending_human_review
2,41,0.15593,False,pending_human_review
3,4,0.134188,False,pending_human_review
3,5,0.149304,False,pending_human_review
3,6,0.178595,False,pending_human_review
3,7,0.202469,False,pending_human_review
3,8,0.162836,False,pending_human_review
3,9,0.178167,False,pending_human_review
3,10,0.178174,False,pending_human_review
3,11,0.142472,False,pending_human_review
3,12,0.240281,False,pending_human_review
3,13,0.228109,False,pending_human_review
3,14,0.187791,False,pending_human_review
3,15,0.12784,False,pending_human_review
3,16,0.138401,False,pending_human_review
3,17,0.184077,False,pending_human_review
3,18,0.112539,False,pending_human_review
3,19,0.148388,False,pending_human_review
3,20,0.20435,False,pending_human_review
3,21,0.170598,False,pending_human_review
3,22,0.125789,False,pending_human_review
3,23,0.155427,False,pending_human_review
3,24,0.167648,False,pending_human_review
3,25,0.095819,False,pending_human_review
3,26,0.190484,False,pending_human_review
3,27,0.20463,False,pending_human_review
3,28,0.147059,False,pending_human_review
3,29,0.173607,False,pending_human_review
3,30,0.124595,False,pending_human_review
3,31,0.180312,False,pending_human_review
3,32,0.18684,False,pending_human_review
3,33,0.145427,False,pending_human_review
3,34,0.123122,False,pending_human_review
3,35,0.136176,False,pending_human_review
3,36,0.168599,False,pending_human_review
3,37,0.160156,False,pending_human_review
3,38,0.161956,False,pending_human_review
3,39,0.098156,False,pending_human_review
3,40,0.155634,False,pending_human_review
3,41,0.144722,False,pending_human_review
4,5,0.241009,False,pending_human_review
4,6,0.219035,False,pending_human_review
4,7,0.053161,False,pending_human_review
4,8,0.090038,False,pending_human_review
4,9,0.254527,False,pending_human_review
4,10,0.2105,False,pending_human_review
4,11,0.268173,False,pending_human_review
4,12,0.195862,False,pending_human_review
4,13,0.210942,False,pending_human_review
4,14,0.173089,False,pending_human_review
4,15,0.362039,False,pending_human_review
4,16,0.122959,False,pending_human_review
4,17,0.132653,False,pending_human_review
4,18,0.170418,False,pending_human_review
4,19,0.237114,False,pending_human_review
4,20,0.137395,False,pending_human_review
4,21,0.03995,False,pending_human_review
4,22,0.224987,False,pending_human_review
4,23,0.011846,False,pending_human_review
4,24,0.088814,False,pending_human_review
4,25,0.209241,False,pending_human_review
4,26,0.049674,False,pending_human_review
4,27,0.065534,False,pending_human_review
4,28,0.030323,False,pending_human_review
4,29,0.055165,False,pending_human_review
4,30,0.01526,False,pending_human_review
4,31,0.105319,False,pending_human_review
4,32,0.067613,False,pending_human_review
4,33,0.052133,False,pending_human_review
4,34,0.011412,False,pending_human_review
4,35,0.02314,False,pending_human_review
4,36,0.056259,False,pending_human_review
4,37,0.010096,False,pending_human_review
4,38,0.122612,False,pending_human_review
4,39,0.191411,False,pending_human_review
4,40,0.005438,False,pending_human_review
4,41,0.005218,False,pending_human_review
5,6,0.250054,False,pending_human_review
5,7,0.076305,False,pending_human_review
5,8,0.101924,False,pending_human_review
5,9,0.23316,False,pending_human_review
5,10,0.215076,False,pending_human_review
5,11,0.303674,False,pending_human_review
5,12,0.19307,False,pending_human_review
5,13,0.20084,False,pending_human_review
5,14,0.203044,False,pending_human_review
5,15,0.255074,False,pending_human_review
5,16,0.115884,False,pending_human_review
5,17,0.163981,False,pending_human_review
5,18,0.155057,False,pending_human_review
5,19,0.172729,False,pending_human_review
5,20,0.12501,False,pending_human_review
5,21,0.103849,False,pending_human_review
5,22,0.178196,False,pending_human_review
5,23,0.0833,False,pending_human_review
5,24,0.122528,False,pending_human_review
5,25,0.249946,False,pending_human_review
5,26,0.071478,False,pending_human_review
5,27,0.087083,False,pending_human_review
5,28,0.051095,False,pending_human_review
5,29,0.087923,False,pending_human_review
5,30,0.09167,False,pending_human_review
5,31,0.179914,False,pending_human_review
5,32,0.092773,False,pending_human_review
5,33,0.074054,False,pending_human_review
5,34,0.086743,False,pending_human_review
5,35,0.091521,False,pending_human_review
5,36,0.087824,False,pending_human_review
5,37,0.039971,False,pending_human_review
5,38,0.160617,False,pending_human_review
5,39,0.19663,False,pending_human_review
5,40,0.0426,False,pending_human_review
5,41,0.026255,False,pending_human_review
6,7,0.122098,False,pending_human_review
6,8,0.13456,False,pending_human_review
6,9,0.236387,False,pending_human_review
6,10,0.230374,False,pending_human_review
6,11,0.235043,False,pending_human_review
6,12,0.231089,False,pending_human_review
6,13,0.223297,False,pending_human_review
6,14,0.196445,False,pending_human_review
6,15,0.207731,False,pending_human_review
6,16,0.140772,False,pending_human_review
6,17,0.166285,False,pending_human_review
6,18,0.179354,False,pending_human_review
6,19,0.170332,False,pending_human_review
6,20,0.133526,False,pending_human_review
6,21,0.085951,False,pending_human_review
6,22,0.186465,False,pending_human_review
6,23,0.058873,False,pending_human_review
6,24,0.185536,False,pending_human_review
6,25,0.219131,False,pending_human_review
6,26,0.109237,False,pending_human_review
6,27,0.110504,False,pending_human_review
6,28,0.080864,False,pending_human_review
6,29,0.104108,False,pending_human_review
6,30,0.062239,False,pending_human_review
6,31,0.142011,False,pending_human_review
6,32,0.102428,False,pending_human_review
6,33,0.109648,False,pending_human_review
6,34,0.053538,False,pending_human_review
6,35,0.061496,False,pending_human_review
6,36,0.102185,False,pending_human_review
6,37,0.066824,False,pending_human_review
6,38,0.153831,False,pending_human_review
6,39,0.179017,False,pending_human_review
6,40,0.061031,False,pending_human_review
6,41,0.049689,False,pending_human_review
7,8,0.238474,False,pending_human_review
7,9,0.074621,False,pending_human_review
7,10,0.137565,False,pending_human_review
7,11,0.051699,False,pending_human_review
7,12,0.163268,False,pending_human_review
7,13,0.148831,False,pending_human_review
7,14,0.191531,False,pending_human_review
7,15,0.055925,False,pending_human_review
7,16,0.180602,False,pending_human_review
7,17,0.182832,False,pending_human_review
7,18,0.044991,False,pending_human_review
7,19,0.040599,False,pending_human_review
7,20,0.190754,False,pending_human_review
7,21,0.175716,False,pending_human_review
7,22,0.046187,False,pending_human_review
7,23,0.147446,False,pending_human_review
7,24,0.211304,False,pending_human_review
7,25,0.045263,False,pending_human_review
7,26,0.228323,False,pending_human_review
7,27,0.184636,False,pending_human_review
7,28,0.206649,False,pending_human_review
7,29,0.20878,False,pending_human_review
7,30,0.127426,False,pending_human_review
7,31,0.119154,False,pending_human_review
7,32,0.198708,False,pending_human_review
7,33,0.201442,False,pending_human_review
7,34,0.119836,False,pending_human_review
7,35,0.143206,False,pending_human_review
7,36,0.1603,False,pending_human_review
7,37,0.196889,False,pending_human_review
7,38,0.149643,False,pending_human_review
7,39,0.040484,False,pending_human_review
7,40,0.165608,False,pending_human_review
7,41,0.177336,False,pending_human_review
8,9,0.115328,False,pending_human_review
8,10,0.17498,False,pending_human_review
8,11,0.089266,False,pending_human_review
8,12,0.149621,False,pending_human_review
8,13,0.153713,False,pending_human_review
8,14,0.156196,False,pending_human_review
8,15,0.079962,False,pending_human_review
8,16,0.200354,False,pending_human_review
8,17,0.151456,False,pending_human_review
8,18,0.082485,False,pending_human_review
8,19,0.067955,False,pending_human_review
8,20,0.155584,False,pending_human_review
8,21,0.120429,False,pending_human_review
8,22,0.08602,False,pending_human_review
8,23,0.10488,False,pending_human_review
8,24,0.217911,False,pending_human_review
8,25,0.066538,False,pending_human_review
8,26,0.197347,False,pending_human_review
8,27,0.155751,False,pending_human_review
8,28,0.181744,False,pending_human_review
8,29,0.172335,False,pending_human_review
8,30,0.093942,False,pending_human_review
8,31,0.100828,False,pending_human_review
8,32,0.152168,False,pending_human_review
8,33,0.179552,False,pending_human_review
8,34,0.083829,False,pending_human_review
8,35,0.104439,False,pending_human_review
8,36,0.14135,False,pending_human_review
8,37,0.158868,False,pending_human_review
8,38,0.132494,False,pending_human_review
8,39,0.077544,False,pending_human_review
8,40,0.126481,False,pending_human_review
8,41,0.132006,False,pending_human_review
9,10,0.263039,False,pending_human_review
9,11,0.331451,False,pending_human_review
9,12,0.187102,False,pending_human_review
9,13,0.195528,False,pending_human_review
9,14,0.163785,False,pending_human_review
9,15,0.213207,False,pending_human_review
9,16,0.13521,False,pending_human_review
9,17,0.152604,False,pending_human_review
9,18,0.265197,False,pending_human_review
9,19,0.177771,False,pending_human_review
9,20,0.133262,False,pending_human_review
9,21,0.047843,False,pending_human_review
9,22,0.311347,False,pending_human_review
9,23,0.028291,False,pending_human_review
9,24,0.097346,False,pending_human_review
9,25,0.187949,False,pending_human_review
9,26,0.067262,False,pending_human_review
9,27,0.075753,False,pending_human_review
9,28,0.056024,False,pending_human_review
9,29,0.069979,False,pending_human_review
9,30,0.031577,False,pending_human_review
9,31,0.171678,False,pending_human_review
9,32,0.075323,False,pending_human_review
9,33,0.073623,False,pending_human_review
9,34,0.026275,False,pending_human_review
9,35,0.030872,False,pending_human_review
9,36,0.081755,False,pending_human_review
9,37,0.030216,False,pending_human_review
9,38,0.137713,False,pending_human_review
9,39,0.184454,False,pending_human_review
9,40,0.021418,False,pending_human_review
9,41,0.016446,False,pending_human_review
10,11,0.225928,False,pending_human_review
10,12,0.189864,False,pending_human_review
10,13,0.203231,False,pending_human_review
10,14,0.192287,False,pending_human_review
10,15,0.184918,False,pending_human_review
10,16,0.162515,False,pending_human_review
10,17,0.159473,False,pending_human_review
10,18,0.231491,False,pending_human_review
10,19,0.131907,False,pending_human_review
10,20,0.139385,False,pending_human_review
10,21,0.07487,False,pending_human_review
10,22,0.212976,False,pending_human_review
10,23,0.063033,False,pending_human_review
10,24,0.145563,False,pending_human_review
10,25,0.174403,False,pending_human_review
10,26,0.124908,False,pending_human_review
10,27,0.109915,False,pending_human_review
10,28,0.09853,False,pending_human_review
10,29,0.124663,False,pending_human_review
10,30,0.059955,False,pending_human_review
10,31,0.149163,False,pending_human_review
10,32,0.099172,False,pending_human_review
10,33,0.116184,False,pending_human_review
10,34,0.04664,False,pending_human_review
10,35,0.060436,False,pending_human_review
10,36,0.097915,False,pending_human_review
10,37,0.084818,False,pending_human_review
10,38,0.145511,False,pending_human_review
10,39,0.154584,False,pending_human_review
10,40,0.06451,False,pending_human_review
10,41,0.068798,False,pending_human_review
11,12,0.182877,False,pending_human_review
11,13,0.201265,False,pending_human_review
11,14,0.167811,False,pending_human_review
11,15,0.256772,False,pending_human_review
11,16,0.122353,False,pending_human_review
11,17,0.132795,False,pending_human_review
11,18,0.203029,False,pending_human_review
11,19,0.189797,False,pending_human_review
11,20,0.123744,False,pending_human_review
11,21,0.041791,False,pending_human_review
11,22,0.253083,False,pending_human_review
11,23,0.017589,False,pending_human_review
11,24,0.077078,False,pending_human_review
11,25,0.25778,False,pending_human_review
11,26,0.045674,False,pending_human_review
11,27,0.063855,False,pending_human_review
11,28,0.026747,False,pending_human_review
11,29,0.061427,False,pending_human_review
11,30,0.018679,False,pending_human_review
11,31,0.157015,False,pending_human_review
11,32,0.055121,False,pending_human_review
11,33,0.053995,False,pending_human_review
11,34,0.012279,False,pending_human_review
11,35,0.023478,False,pending_human_review
11,36,0.064229,False,pending_human_review
11,37,0.008537,False,pending_human_review
11,38,0.133049,False,pending_human_review
11,39,0.196373,False,pending_human_review
11,40,0.00557,False,pending_human_review
11,41,0.006023,False,pending_human_review
12,13,0.257064,False,pending_human_review
12,14,0.183268,False,pending_human_review
12,15,0.196427,False,pending_human_review
12,16,0.141279,False,pending_human_review
12,17,0.178286,False,pending_human_review
12,18,0.124941,False,pending_human_review
12,19,0.209687,False,pending_human_review
12,20,0.180316,False,pending_human_review
12,21,0.128379,False,pending_human_review
12,22,0.135854,False,pending_human_review
12,23,0.101409,False,pending_human_review
12,24,0.163896,False,pending_human_review
12,25,0.177342,False,pending_human_review
12,26,0.147774,False,pending_human_review
12,27,0.158705,False,pending_human_review
12,28,0.121263,False,pending_human_review
12,29,0.137624,False,pending_human_review
12,30,0.102388,False,pending_human_review
12,31,0.141493,False,pending_human_review
12,32,0.148718,False,pending_human_review
12,33,0.140114,False,pending_human_review
12,34,0.094203,False,pending_human_review
12,35,0.104633,False,pending_human_review
12,36,0.116093,False,pending_human_review
12,37,0.107177,False,pending_human_review
12,38,0.168726,False,pending_human_review
12,39,0.155384,False,pending_human_review
12,40,0.105922,False,pending_human_review
12,41,0.095556,False,pending_human_review
13,14,0.181772,False,pending_human_review
13,15,0.191856,False,pending_human_review
13,16,0.140608,False,pending_human_review
13,17,0.170072,False,pending_human_review
13,18,0.135436,False,pending_human_review
13,19,0.189293,False,pending_human_review
13,20,0.163293,False,pending_human_review
13,21,0.099921,False,pending_human_review
13,22,0.152635,False,pending_human_review
13,23,0.084216,False,pending_human_review
13,24,0.165011,False,pending_human_review
13,25,0.164763,False,pending_human_review
13,26,0.13388,False,pending_human_review
13,27,0.154291,False,pending_human_review
13,28,0.111007,False,pending_human_review
13,29,0.133291,False,pending_human_review
13,30,0.068558,False,pending_human_review
13,31,0.145825,False,pending_human_review
13,32,0.133286,False,pending_human_review
13,33,0.11619,False,pending_human_review
13,34,0.063613,False,pending_human_review
13,35,0.077858,False,pending_human_review
13,36,0.127843,False,pending_human_review
13,37,0.100334,False,pending_human_review
13,38,0.162553,False,pending_human_review
13,39,0.138765,False,pending_human_review
13,40,0.087061,False,pending_human_review
13,41,0.100962,False,pending_human_review
14,15,0.160125,False,pending_human_review
14,16,0.161235,False,pending_human_review
14,17,0.185431,False,pending_human_review
14,18,0.120204,False,pending_human_review
14,19,0.116245,False,pending_human_review
14,20,0.162763,False,pending_human_review
14,21,0.133938,False,pending_human_review
14,22,0.117299,False,pending_human_review
14,23,0.112597,False,pending_human_review
14,24,0.166576,False,pending_human_review
14,25,0.163986,False,pending_human_review
14,26,0.141208,False,pending_human_review
14,27,0.130478,False,pending_human_review
14,28,0.126953,False,pending_human_review
14,29,0.152165,False,pending_human_review
14,30,0.096998,False,pending_human_review
14,31,0.157093,False,pending_human_review
14,32,0.154774,False,pending_human_review
14,33,0.136228,False,pending_human_review
14,34,0.084232,False,pending_human_review
14,35,0.109796,False,pending_human_review
14,36,0.122358,False,pending_human_review
14,37,0.12068,False,pending_human_review
14,38,0.162901,False,pending_human_review
14,39,0.124036,False,pending_human_review
14,40,0.099899,False,pending_human_review
14,41,0.103598,False,pending_human_review
15,16,0.10765,False,pending_human_review
15,17,0.142988,False,pending_human_review
15,18,0.137137,False,pending_human_review
15,19,0.246918,False,pending_human_review
15,20,0.140133,False,pending_human_review
15,21,0.056894,False,pending_human_review
15,22,0.163146,False,pending_human_review
15,23,0.02321,False,pending_human_review
15,24,0.078484,False,pending_human_review
15,25,0.243286,False,pending_human_review
15,26,0.048522,False,pending_human_review
15,27,0.070842,False,pending_human_review
15,28,0.034162,False,pending_human_review
15,29,0.064674,False,pending_human_review
15,30,0.026078,False,pending_human_review
15,31,0.106363,False,pending_human_review
15,32,0.064889,False,pending_human_review
15,33,0.047862,False,pending_human_review
15,34,0.01757,False,pending_human_review
15,35,0.033064,False,pending_human_review
15,36,0.070222,False,pending_human_review
15,37,0.02135,False,pending_human_review
15,38,0.125821,False,pending_human_review
15,39,0.205585,False,pending_human_review
15,40,0.014864,False,pending_human_review
15,41,0.015562,False,pending_human_review
16,17,0.125115,False,pending_human_review
16,18,0.110887,False,pending_human_review
16,19,0.090401,False,pending_human_review
16,20,0.129309,False,pending_human_review
16,21,0.088593,False,pending_human_review
16,22,0.104879,False,pending_human_review
16,23,0.083786,False,pending_human_review
16,24,0.14326,False,pending_human_review
16,25,0.096409,False,pending_human_review
16,26,0.13817,False,pending_human_review
16,27,0.111429,False,pending_human_review
16,28,0.106966,False,pending_human_review
16,29,0.126182,False,pending_human_review
16,30,0.075841,False,pending_human_review
16,31,0.100686,False,pending_human_review
16,32,0.101453,False,pending_human_review
16,33,0.175672,False,pending_human_review
16,34,0.068357,False,pending_human_review
16,35,0.07826,False,pending_human_review
16,36,0.115003,False,pending_human_review
16,37,0.088532,False,pending_human_review
16,38,0.119457,False,pending_human_review
16,39,0.117038,False,pending_human_review
16,40,0.085713,False,pending_human_review
16,41,0.077206,False,pending_human_review
17,18,0.096092,False,pending_human_review
17,19,0.106931,False,pending_human_review
17,20,0.165873,False,pending_human_review
17,21,0.166145,False,pending_human_review
17,22,0.104961,False,pending_human_review
17,23,0.149777,False,pending_human_review
17,24,0.162442,False,pending_human_review
17,25,0.141465,False,pending_human_review
17,26,0.134369,False,pending_human_review
17,27,0.142435,False,pending_human_review
17,28,0.116768,False,pending_human_review
17,29,0.144406,False,pending_human_review
17,30,0.12602,False,pending_human_review
17,31,0.133828,False,pending_human_review
17,32,0.153481,False,pending_human_review
17,33,0.136338,False,pending_human_review
17,34,0.124614,False,pending_human_review
17,35,0.116648,False,pending_human_review
17,36,0.120304,False,pending_human_review
17,37,0.118524,False,pending_human_review
17,38,0.139477,False,pending_human_review
17,39,0.128044,False,pending_human_review
17,40,0.115224,False,pending_human_review
17,41,0.090538,False,pending_human_review
18,19,0.112915,False,pending_human_review
18,20,0.075944,False,pending_human_review
18,21,0.021435,False,pending_human_review
18,22,0.228363,False,pending_human_review
18,23,0.00733,False,pending_human_review
18,24,0.065609,False,pending_human_review
18,25,0.128056,False,pending_human_review
18,26,0.042918,False,pending_human_review
18,27,0.051057,False,pending_human_review
18,28,0.019933,False,pending_human_review
18,29,0.043398,False,pending_human_review
18,30,0.012887,False,pending_human_review
18,31,0.112505,False,pending_human_review
18,32,0.039304,False,pending_human_review
18,33,0.052226,False,pending_human_review
18,34,0.011108,False,pending_human_review
18,35,0.012445,False,pending_human_review
18,36,0.047,False,pending_human_review
18,37,0.009289,False,pending_human_review
18,38,0.094564,False,pending_human_review
18,39,0.13181,False,pending_human_review
18,40,0.003855,False,pending_human_review
18,41,0.009887,False,pending_human_review
19,20,0.099237,False,pending_human_review
19,21,0.036263,False,pending_human_review
19,22,0.134718,False,pending_human_review
19,23,0.013113,False,pending_human_review
19,24,0.064106,False,pending_human_review
19,25,0.144327,False,pending_human_review
19,26,0.044241,False,pending_human_review
19,27,0.070258,False,pending_human_review
19,28,0.012486,False,pending_human_review
19,29,0.037252,False,pending_human_review
19,30,0.015977,False,pending_human_review
19,31,0.082603,False,pending_human_review
19,32,0.045039,False,pending_human_review
19,33,0.044593,False,pending_human_review
19,34,0.010796,False,pending_human_review
19,35,0.017268,False,pending_human_review
19,36,0.05726,False,pending_human_review
19,37,0.006837,False,pending_human_review
19,38,0.090971,False,pending_human_review
19,39,0.15182,False,pending_human_review
19,40,0.006658,False,pending_human_review
19,41,0.003708,False,pending_human_review
20,21,0.184911,False,pending_human_review
20,22,0.082963,False,pending_human_review
20,23,0.151472,False,pending_human_review
20,24,0.152851,False,pending_human_review
20,25,0.075271,False,pending_human_review
20,26,0.176782,False,pending_human_review
20,27,0.175835,False,pending_human_review
20,28,0.154069,False,pending_human_review
20,29,0.168293,False,pending_human_review
20,30,0.127263,False,pending_human_review
20,31,0.13214,False,pending_human_review
20,32,0.185605,False,pending_human_review
20,33,0.133609,False,pending_human_review
20,34,0.1259,False,pending_human_review
20,35,0.136362,False,pending_human_review
20,36,0.171036,False,pending_human_review
20,37,0.150989,False,pending_human_review
20,38,0.131895,False,pending_human_review
20,39,0.086356,False,pending_human_review
20,40,0.158115,False,pending_human_review
20,41,0.153546,False,pending_human_review
21,22,0.031548,False,pending_human_review
21,23,0.288521,False,pending_human_review
21,24,0.131874,False,pending_human_review
21,25,0.045009,False,pending_human_review
21,26,0.133044,False,pending_human_review
21,27,0.140381,False,pending_human_review
21,28,0.130759,False,pending_human_review
21,29,0.139461,False,pending_human_review
21,30,0.250137,False,pending_human_review
21,31,0.132894,False,pending_human_review
21,32,0.1915,False,pending_human_review
21,33,0.115082,False,pending_human_review
21,34,0.267249,False,pending_human_review
21,35,0.236462,False,pending_human_review
21,36,0.147548,False,pending_human_review
21,37,0.146522,False,pending_human_review
21,38,0.112932,False,pending_human_review
21,39,0.047627,False,pending_human_review
21,40,0.179503,False,pending_human_review
21,41,0.120917,False,pending_human_review
22,23,0.007696,False,pending_human_review
22,24,0.072774,False,pending_human_review
22,25,0.143633,False,pending_human_review
22,26,0.037799,False,pending_human_review
22,27,0.051645,False,pending_human_review
22,28,0.027016,False,pending_human_review
22,29,0.049714,False,pending_human_review
22,30,0.011946,False,pending_human_review
22,31,0.13134,False,pending_human_review
22,32,0.049414,False,pending_human_review
22,33,0.04751,False,pending_human_review
22,34,0.005633,False,pending_human_review
22,35,0.013312,False,pending_human_review
22,36,0.05241,False,pending_human_review
22,37,0.007202,False,pending_human_review
22,38,0.10334,False,pending_human_review
22,39,0.150703,False,pending_human_review
22,40,0.003454,False,pending_human_review
22,41,0.004889,False,pending_human_review
23,24,0.119441,False,pending_human_review
23,25,0.015368,False,pending_human_review
23,26,0.135477,False,pending_human_review
23,27,0.132157,False,pending_human_review
23,28,0.128187,False,pending_human_review
23,29,0.149263,False,pending_human_review
23,30,0.283217,False,pending_human_review
23,31,0.131325,False,pending_human_review
23,32,0.173998,False,pending_human_review
23,33,0.108718,False,pending_human_review
23,34,0.289402,False,pending_human_review
23,35,0.252485,False,pending_human_review
23,36,0.130793,False,pending_human_review
23,37,0.138507,False,pending_human_review
23,38,0.10214,False,pending_human_review
23,39,0.011177,False,pending_human_review
23,40,0.160177,False,pending_human_review
23,41,0.116242,False,pending_human_review
24,25,0.081079,False,pending_human_review
24,26,0.168006,False,pending_human_review
24,27,0.152036,False,pending_human_review
24,28,0.157638,False,pending_human_review
24,29,0.179083,False,pending_human_review
24,30,0.096947,False,pending_human_review
24,31,0.115356,False,pending_human_review
24,32,0.151908,False,pending_human_review
24,33,0.146993,False,pending_human_review
24,34,0.093876,False,pending_human_review
24,35,0.116013,False,pending_human_review
24,36,0.133237,False,pending_human_review
24,37,0.14792,False,pending_human_review
24,38,0.137362,False,pending_human_review
24,39,0.066687,False,pending_human_review
24,40,0.11688,False,pending_human_review
24,41,0.118581,False,pending_human_review
25,26,0.042454,False,pending_human_review
25,27,0.051076,False,pending_human_review
25,28,0.029096,False,pending_human_review
25,29,0.071543,False,pending_human_review
25,30,0.016656,False,pending_human_review
